구분,기업,종목,기간,연도범위,기초일,기말일,기초주가,기말주가,주당배당금 합계,기초-기말 Gap,TSR(%),TSR CAGR(%),100원 투자환산
기간별,풀무원,017810.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,18600.0000,12940.0000,1033.3000,-5660.0000,-24.874731,-2.819618,75.1253
기간별,풀무원,017810.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,18600.0000,12940.0000,1033.3000,-5660.0000,-24.874731,-2.819618,75.1253
기간별,풀무원,017810.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,16550.0000,12940.0000,510.0000,-3610.0000,-18.731118,-4.063282,81.2689
기간별,풀무원,017810.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,11200.0000,12940.0000,306.0000,1740.0000,18.267857,5.752078,118.2679
기간별,풀무원,017810.KS,최근 1년,2025,2024-12-30,2025-12-30,10700.0000,12940.0000,102.0000,2240.0000,21.887850,21.887850,121.8879
기간별,CJ제일제당,097950.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,377500.0000,208000.0000,43000.0000,-169500.0000,-33.509934,-3.999018,66.4901
기간별,CJ제일제당,097950.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,377500.0000,208000.0000,43000.0000,-169500.0000,-33.509934,-3.999018,66.4901
기간별,CJ제일제당,097950.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,381000.0000,208000.0000,26500.0000,-173000.0000,-38.451444,-9.250639,61.5486
기간별,CJ제일제당,097950.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,380500.0000,208000.0000,16000.0000,-172500.0000,-41.130092,-16.189625,58.8699
기간별,CJ제일제당,097950.KS,최근 1년,2025,2024-12-30,2025-12-30,255500.0000,208000.0000,7500.0000,-47500.0000,-15.655577,-15.655577,84.3444
기간별,삼양식품,003230.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,27600.0000,1231000.0000,12400.0000,1203400.0000,4405.072464,46.342402,4505.0725
기간별,삼양식품,003230.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,27600.0000,1231000.0000,12400.0000,1203400.0000,4405.072464,46.342402,4505.0725
기간별,삼양식품,003230.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,101000.0000,1231000.0000,10000.0000,1130000.0000,1128.712871,65.154375,1228.7129
기간별,삼양식품,003230.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,127000.0000,1231000.0000,7600.0000,1104000.0000,875.275591,113.653060,975.2756
기간별,삼양식품,003230.KS,최근 1년,2025,2024-12-30,2025-12-30,765000.0000,1231000.0000,4000.0000,466000.0000,61.437908,61.437908,161.4379
기간별,농심,004370.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,439500.0000,432500.0000,39000.0000,-7000.0000,7.281001,0.705289,107.2810
기간별,농심,004370.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,439500.0000,432500.0000,39000.0000,-7000.0000,7.281001,0.705289,107.2810
기간별,농심,004370.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,300000.0000,432500.0000,19000.0000,132500.0000,50.500000,8.519379,150.5000
기간별,농심,004370.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,357000.0000,432500.0000,10000.0000,75500.0000,23.949580,7.419144,123.9496
기간별,농심,004370.KS,최근 1년,2025,2024-12-30,2025-12-30,374000.0000,432500.0000,0.0000,58500.0000,15.641711,15.641711,115.6417
기간별,대상,001680.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,32600.0000,21050.0000,6000.0000,-11550.0000,-17.024540,-1.848946,82.9755
기간별,대상,001680.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,32600.0000,21050.0000,6000.0000,-11550.0000,-17.024540,-1.848946,82.9755
기간별,대상,001680.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,26050.0000,21050.0000,3250.0000,-5000.0000,-6.717850,-1.381201,93.2821
기간별,대상,001680.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,21900.0000,21050.0000,1650.0000,-850.0000,3.652968,1.203123,103.6530
기간별,대상,001680.KS,최근 1년,2025,2024-12-30,2025-12-30,19190.0000,21050.0000,850.0000,1860.0000,14.121939,14.121939,114.1219
기간별,오뚜기,007310.KS,2016년부터,2016-2025,2015-12-30,2025-12-30,1225000.0000,385000.0000,71800.0000,-840000.0000,-62.710204,-9.393574,37.2898
기간별,오뚜기,007310.KS,최근 10년,2016-2025,2015-12-30,2025-12-30,1225000.0000,385000.0000,71800.0000,-840000.0000,-62.710204,-9.393574,37.2898
기간별,오뚜기,007310.KS,최근 5년,2021-2025,2020-12-30,2025-12-30,577000.0000,385000.0000,35000.0000,-192000.0000,-27.209705,-6.154231,72.7903
기간별,오뚜기,007310.KS,최근 3년,2023-2025,2022-12-29,2025-12-30,476000.0000,385000.0000,18000.0000,-91000.0000,-15.336134,-5.398208,84.6639
기간별,오뚜기,007310.KS,최근 1년,2025,2024-12-30,2025-12-30,395500.0000,385000.0000,9000.0000,-10500.0000,-0.379267,-0.379267,99.6207

구분,기업,종목,연도,기초일,기말일,기초주가,기말주가,주당배당금,기초-기말 Gap,연도 TSR(%)
연도별,풀무원,017810.KS,2000,2000-01-04,2000-12-29,3128.2051,2705.1282,102.5641,-423.0769,-10.245901
연도별,풀무원,017810.KS,2001,2000-12-29,2001-12-31,2705.1282,5435.8975,166.6667,2730.7693,107.109008
연도별,풀무원,017810.KS,2002,2001-12-31,2002-12-31,5435.8975,10448.7178,205.1282,5012.8203,95.990562
연도별,풀무원,017810.KS,2003,2002-12-31,2003-12-31,10448.7178,14615.3848,194.8718,4166.6670,41.742335
연도별,풀무원,017810.KS,2004,2003-12-31,2004-12-31,14615.3848,13333.3330,128.2051,-1282.0518,-7.894740
연도별,풀무원,017810.KS,2005,2004-12-31,2005-12-29,13333.3330,11871.7949,153.8462,-1461.5381,-9.807690
연도별,풀무원,017810.KS,2006,2005-12-29,2006-12-28,11871.7949,8205.1279,184.6154,-3666.6670,-29.330456
연도별,풀무원,017810.KS,2007,2006-12-28,2007-12-28,8205.1279,13923.0771,274.3590,5717.9492,73.031259
연도별,풀무원,017810.KS,2008,2007-12-28,2008-12-31,13923.0771,5600.0000,107.0000,-8323.0771,-59.010498
연도별,풀무원,017810.KS,2009,2008-12-31,2009-12-30,5600.0000,5270.0000,102.0000,-330.0000,-4.071429
연도별,풀무원,017810.KS,2010,2009-12-30,2010-12-30,5270.0000,4110.0000,102.0000,-1160.0000,-20.075901
연도별,풀무원,017810.KS,2011,2010-12-30,2011-12-29,4110.0000,3250.0000,102.0000,-860.0000,-18.442822
연도별,풀무원,017810.KS,2012,2011-12-29,2012-12-28,3250.0000,4800.0000,102.0000,1550.0000,50.830769
연도별,풀무원,017810.KS,2013,2012-12-28,2013-12-30,4800.0000,6520.0000,102.0000,1720.0000,37.958333
연도별,풀무원,017810.KS,2014,2013-12-30,2014-12-30,6520.0000,11100.0000,102.0000,4580.0000,71.809816
연도별,풀무원,017810.KS,2015,2014-12-30,2015-12-30,11100.0000,18600.0000,102.0000,7500.0000,68.486486
연도별,풀무원,017810.KS,2016,2015-12-30,2016-12-29,18600.0000,14050.0000,102.0000,-4550.0000,-23.913978
연도별,풀무원,017810.KS,2017,2016-12-29,2017-12-28,14050.0000,17200.0000,115.3000,3150.0000,23.240569
연도별,풀무원,017810.KS,2018,2017-12-28,2018-12-28,17200.0000,7960.0000,102.0000,-9240.0000,-53.127907
연도별,풀무원,017810.KS,2019,2018-12-28,2019-12-30,7960.0000,11250.0000,102.0000,3290.0000,42.613065
연도별,풀무원,017810.KS,2020,2019-12-30,2020-12-30,11250.0000,16550.0000,102.0000,5300.0000,48.017778
연도별,풀무원,017810.KS,2021,2020-12-30,2021-12-30,16550.0000,17300.0000,102.0000,750.0000,5.148036
연도별,풀무원,017810.KS,2022,2021-12-30,2022-12-29,17300.0000,11200.0000,102.0000,-6100.0000,-34.670520
연도별,풀무원,017810.KS,2023,2022-12-29,2023-12-28,11200.0000,10490.0000,102.0000,-710.0000,-5.428571
연도별,풀무원,017810.KS,2024,2023-12-28,2024-12-30,10490.0000,10700.0000,102.0000,210.0000,2.974261
연도별,풀무원,017810.KS,2025,2024-12-30,2025-12-30,10700.0000,12940.0000,102.0000,2240.0000,21.887850
연도별,CJ제일제당,097950.KS,2007,2007-09-28,2007-12-28,230000.0000,296000.0000,0.0000,66000.0000,28.695652
연도별,CJ제일제당,097950.KS,2008,2007-12-28,2008-12-31,296000.0000,179000.0000,1000.0000,-117000.0000,-39.189189
연도별,CJ제일제당,097950.KS,2009,2008-12-31,2009-12-30,179000.0000,205500.0000,3500.0000,26500.0000,16.759777
연도별,CJ제일제당,097950.KS,2010,2009-12-30,2010-12-30,205500.0000,217000.0000,4000.0000,11500.0000,7.542579
연도별,CJ제일제당,097950.KS,2011,2010-12-30,2011-12-29,217000.0000,289500.0000,1800.0000,72500.0000,34.239631
연도별,CJ제일제당,097950.KS,2012,2011-12-29,2012-12-28,289500.0000,355500.0000,1800.0000,66000.0000,23.419689
연도별,CJ제일제당,097950.KS,2013,2012-12-28,2013-12-30,355500.0000,277000.0000,1800.0000,-78500.0000,-21.575246
연도별,CJ제일제당,097950.KS,2014,2013-12-30,2014-12-30,277000.0000,306500.0000,2000.0000,29500.0000,11.371841
연도별,CJ제일제당,097950.KS,2015,2014-12-30,2015-12-30,306500.0000,377500.0000,2500.0000,71000.0000,23.980424
연도별,CJ제일제당,097950.KS,2016,2015-12-30,2016-12-29,377500.0000,357500.0000,2500.0000,-20000.0000,-4.635762
연도별,CJ제일제당,097950.KS,2017,2016-12-29,2017-12-28,357500.0000,366000.0000,3000.0000,8500.0000,3.216783
연도별,CJ제일제당,097950.KS,2018,2017-12-28,2018-12-28,366000.0000,330500.0000,3500.0000,-35500.0000,-8.743169
연도별,CJ제일제당,097950.KS,2019,2018-12-28,2019-12-30,330500.0000,252500.0000,3500.0000,-78000.0000,-22.541604
연도별,CJ제일제당,097950.KS,2020,2019-12-30,2020-12-30,252500.0000,381000.0000,4000.0000,128500.0000,52.475248
연도별,CJ제일제당,097950.KS,2021,2020-12-30,2021-12-30,381000.0000,387500.0000,5000.0000,6500.0000,3.018373
